      1024 ,        8 ,    28.5714 ,  75.88
      1024 ,       32 ,    30.3030 ,  74.71
      1024 ,       64 ,    29.4118 ,  77.15
      1024 ,      128 ,    29.4118 ,  77.15
      4096 ,        8 ,   111.1111 ,  75.95
      4096 ,       32 ,   117.6471 ,  74.41
      4096 ,       64 ,   117.6471 ,  74.58
      4096 ,      128 ,   111.1111 ,  74.32
     16384 ,        8 ,   421.0527 ,  74.26
     16384 ,       32 ,   457.1428 ,  74.88
     16384 ,       64 ,   470.5882 ,  74.30
     16384 ,      128 ,   470.5882 ,  74.90
     65536 ,        8 ,  1332.4659 ,  74.62
     65536 ,       32 ,  1686.9851 ,  74.57
     65536 ,       64 ,  1702.4107 ,  74.78
     65536 ,      128 ,  1767.0406 ,  74.71
    262144 ,        8 ,  2734.3124 ,  74.88
    262144 ,       32 ,  4376.0683 ,  74.67
    262144 ,       64 ,  4705.3418 ,  74.59
    262144 ,      128 ,  4729.7921 ,  74.83
   1048576 ,        8 ,  4027.0371 ,  74.69
   1048576 ,       32 ,  9217.4401 ,  74.70
   1048576 ,       64 ,  9578.4859 ,  74.75
   1048576 ,      128 ,  9626.3218 ,  74.78
   2097152 ,        8 ,  4336.9730 ,  74.69
   2097152 ,       32 , 10807.3877 ,  74.74
   2097152 ,       64 , 11615.7389 ,  74.73
   2097152 ,      128 , 12113.8627 ,  74.67
