      1024 ,        8 ,    24.3902 ,  22.36
      1024 ,       32 ,    29.4118 ,  22.85
      1024 ,       64 ,    29.4118 ,  24.80
      1024 ,      128 ,    29.4118 ,  21.97
      4096 ,        8 ,   114.2857 ,  23.75
      4096 ,       32 ,   117.6471 ,  22.58
      4096 ,       64 ,   117.6471 ,  22.66
      4096 ,      128 ,   114.2857 ,  22.90
     16384 ,        8 ,   421.0527 ,  22.85
     16384 ,       32 ,   470.5882 ,  22.30
     16384 ,       64 ,   470.5882 ,  22.52
     16384 ,      128 ,   484.8485 ,  22.60
     65536 ,        8 ,  1313.6626 ,  22.89
     65536 ,       32 ,  1627.9809 ,  22.37
     65536 ,       64 ,  1692.5620 ,  22.68
     65536 ,      128 ,  1763.9966 ,  22.73
    262144 ,        8 ,  2745.3084 ,  22.73
    262144 ,       32 ,  4449.7555 ,  22.76
    262144 ,       64 ,  4757.2591 ,  22.75
    262144 ,      128 ,  4844.4709 ,  22.88
   1048576 ,        8 ,  3948.9032 ,  22.80
   1048576 ,       32 ,  9426.9277 ,  22.79
   1048576 ,       64 , 10256.0247 ,  22.83
   1048576 ,      128 , 10570.3223 ,  22.81
   2097152 ,        8 ,  4355.4197 ,  22.83
   2097152 ,       32 , 11326.6509 ,  22.80
   2097152 ,       64 , 12800.0003 ,  22.77
   2097152 ,      128 , 13186.3176 ,  22.83
