      1024 ,        8 ,    28.5714 ,  75.10
      1024 ,       32 ,    29.4118 ,  74.32
      1024 ,       64 ,    28.5714 ,  74.71
      1024 ,      128 ,    29.4118 ,  72.95
      4096 ,        8 ,   111.1111 ,  73.88
      4096 ,       32 ,   117.6471 ,  76.20
      4096 ,       64 ,   117.6471 ,  73.61
      4096 ,      128 ,   117.6471 ,  75.10
     16384 ,        8 ,   347.8261 ,  74.78
     16384 ,       32 ,   470.5882 ,  74.76
     16384 ,       64 ,   390.2439 ,  74.57
     16384 ,      128 ,   470.5882 ,  74.62
     65536 ,        8 ,  1341.1919 ,  74.43
     65536 ,       32 ,  1671.8367 ,  74.75
     65536 ,       64 ,  1459.7292 ,  74.48
     65536 ,      128 ,  1805.9964 ,  74.92
    262144 ,        8 ,  2764.7655 ,  74.58
    262144 ,       32 ,  3949.8554 ,  74.70
    262144 ,       64 ,  4681.1427 ,  74.70
    262144 ,      128 ,  4623.0249 ,  74.66
   1048576 ,        8 ,  4007.3376 ,  74.84
   1048576 ,       32 ,  9251.2706 ,  74.74
   1048576 ,       64 ,  9508.9961 ,  74.67
   1048576 ,      128 ,  9793.1856 ,  74.70
   2097152 ,        8 ,  4291.5331 ,  74.74
   2097152 ,       32 , 10902.6786 ,  74.72
   2097152 ,       64 , 11517.7504 ,  74.68
   2097152 ,      128 , 11650.8440 ,  74.69
